,T10Y3MM_mom_change,T10Y3MM_yoy_change,T10Y3MM_roll12_mean,T10Y3MM_roll12_std,ICSA_mom_change,ICSA_yoy_change,ICSA_roll12_mean,ICSA_roll12_std,UNRATE_mom_change,UNRATE_yoy_change,UNRATE_roll12_mean,UNRATE_roll12_std,PERMIT_mom_change,PERMIT_yoy_change,PERMIT_roll12_mean,PERMIT_roll12_std,UMCSENT_mom_change,UMCSENT_yoy_change,UMCSENT_roll12_mean,UMCSENT_roll12_std,VIXCLS_mom_change,VIXCLS_yoy_change,VIXCLS_roll12_mean,VIXCLS_roll12_std,USALOLITONOSTSAM_mom_change,USALOLITONOSTSAM_yoy_change,USALOLITONOSTSAM_roll12_mean,USALOLITONOSTSAM_roll12_std,PCE_mom_change,PCE_yoy_change,PCE_roll12_mean,PCE_roll12_std,CPIAUCSL_mom_change,CPIAUCSL_yoy_change,CPIAUCSL_roll12_mean,CPIAUCSL_roll12_std,INDPRO_mom_change,INDPRO_yoy_change,INDPRO_roll12_mean,INDPRO_roll12_std,CPILFESL_mom_change,CPILFESL_yoy_change,CPILFESL_roll12_mean,CPILFESL_roll12_std,SP500_mom_change,SP500_yoy_change,SP500_roll12_mean,SP500_roll12_std
2020-01-31,-27.586206896551722,-27.586206896551722,0.03416666666666666,0.20584452797430167,-9.090909090909093,-10.256410256410254,218250.0,9156.46815595689,0.0,-9.999999999999998,3.641666666666667,0.09003366373801298,3.603603603603611,19.218500797448158,1406.25,94.77257466743296,0.5035246727089548,9.42982456140351,96.69999999999999,3.0933947224836205,36.719883889695225,13.69945684972842,15.433333333333335,2.344495810629757,0.03142517822392055,-0.4905879350280862,99.15094500000002,0.17261670642220953,0.47039553834908876,5.393834400692943,14500.858333333335,223.0991115186767,0.19216641534238743,2.599767976845202,256.19975,1.7364032378921532,-0.593376043852345,-1.9568536316827312,102.26331666666665,0.4814025131841516,0.2616344635741674,2.2817391837892886,263.70875,1.8359965896566253,-0.16280928190489652,19.28256732533442,2981.413330078125,156.45557165905552
2020-02-29,-119.04761904761905,-116.66666666666667,0.010833333333333328,0.19602682253076617,2.3809523809523725,-2.714932126696834,217750.0,9156.468155956914,-2.777777777777779,-7.894736842105255,3.6166666666666667,0.08348471099384867,-2.6755852842809347,13.141524105754288,1420.3333333333333,87.56123398498252,1.2024048096192397,7.6759061833688635,97.3,3.176905298041773,112.8980891719745,171.38024357239513,17.544166666666666,7.4803189751304755,-0.034339066727473444,-0.36590586168849804,99.12059999999998,0.12878031491170835,-0.07073422121622874,5.074588805304092,14560.558333333334,206.38581019859387,0.04746707213065804,2.3413166797595197,256.694,1.6852290375815233,0.33018476926538476,-1.1216133025885755,102.16720833333333,0.4741194603204166,0.2452046371421268,2.3676613601035346,264.22408333333334,1.929045475598656,-8.411048363840312,6.095550031209251,2995.5574951171875,144.22891939799118
2020-03-31,-1524.9999999999998,375.0,0.04833333333333332,0.2534429587369251,2665.5813953488373,2829.064039408867,696333.3333333334,1653235.0838354,25.714285714285733,15.789473684210531,3.6666666666666665,0.23868325657600187,-7.491408934707899,3.9382239382239392,1424.5833333333333,81.98498569122893,-11.782178217821793,-9.45121951219513,96.52499999999999,3.9294054604642037,33.48292196459737,290.51787016776075,20.863333333333333,12.664566412800827,-1.2703969592124387,-1.505544120242308,98.99590333333333,0.36039767132510153,-6.89843465598835,-3.0746880395266962,14524.050000000001,288.85688969988036,-0.4528447444551498,1.4940399642909163,257.01058333333333,1.5405223705806972,-3.9989456270076995,-5.085859926621106,101.73136666666666,1.3668275074618401,-0.11818827841568735,2.097741687598198,264.6813333333333,1.8919154955711244,-12.511928240892821,-8.813499261221347,2974.7400105794272,182.543599086522
2020-04-30,-8.771929824561397,420.0,0.08333333333333333,0.28788676224998827,-42.04507231752439,1438.392857142857,964833.3333333334,1822523.467031025,236.36363636363632,300.0,4.591666666666667,3.2236225623112946,-20.0594353640416,-18.60816944024206,1404.0833333333333,127.87810839257776,-19.41638608305275,-26.131687242798364,94.40833333333335,8.129347321820278,-36.21591333582368,160.28963414634148,22.61583333333333,12.947533607415432,-4.504808382813918,-5.833707378041952,98.513285,1.6220113627416128,-11.412331197277437,-14.384884534639609,14352.75,723.213458367209,-0.7920147553434065,0.3130472940411133,257.07716666666664,1.4724723694538562,-13.241808905190243,-17.202282478186216,100.26523333333334,5.091603533328988,-0.48978858208451603,1.4309324152566472,264.99375,1.7090509394380944,12.68440381652789,-1.133811034533061,2971.9566650390625,183.2776380835036
2020-05-31,3.8461538461538547,inf,0.12833333333333333,0.31463783894656266,-52.4376088218224,638.2882882882883,1082916.6666666667,1815911.6147060248,-10.810810810810823,266.66666666666663,5.391666666666667,4.042379662195689,16.17100371747211,-7.2011878247958405,1396.0,134.69831611285895,0.696378830083555,-27.700000000000003,92.10000000000001,10.092841747766244,-19.44363103953147,47.03367183324425,23.349166666666665,12.95540916046854,1.539412753239322,-4.283644410715926,98.15927416666666,1.904428595221748,8.315078794219577,-7.674890094960729,14260.949999999999,789.9711553996524,-0.08983252093487382,0.1982013035848551,257.1193333333334,1.4232511650460966,1.570124183407895,-16.019512271328352,98.89800000000001,6.475779738800271,-0.12568392374673332,1.2184564692601985,265.26,1.469178187087047,4.528181966555822,10.619317666684003,2996.310831705729,170.3634109406143
2020-06-30,5.555555555555536,-480.0,0.18833333333333332,0.32520855779114966,-11.775472849298351,539.8230088495575,1184583.3333333333,1797634.1754617032,-16.666666666666664,205.55555555555554,6.008333333333334,4.300414004030378,6.719999999999993,2.6943802925327276,1398.9166666666667,132.7721618777832,8.022130013831251,-20.468431771894103,90.425,10.641439154208694,10.61432206470374,101.79045092838197,24.628333333333334,12.821830697066748,1.7595245820814398,-2.5103784527052198,97.952,1.9302560923121035,5.954707697880268,-2.553318481195399,14230.291666666666,790.8542820132001,0.4847499237691677,0.7166562831830481,257.27175,1.2924672054988393,6.584870737163229,-10.598532315869036,97.99233333333332,6.6765991761366825,0.16464967672902286,1.1836841884912408,265.51916666666665,1.2405571206739212,1.838839651392421,5.388951810161613,3009.5216674804688,171.8884889229385
2020-07-31,-14.035087719298245,-712.5,0.23583333333333334,0.32407794610480456,-12.863070539419086,511.6504854368932,1272416.6666666667,1771025.920365385,-7.272727272727275,175.67567567567565,6.55,4.3916242594697925,15.892053973013498,12.110224800580127,1412.8333333333333,139.09632589968396,-7.170294494238149,-26.321138211382124,88.26666666666665,11.471096748177965,-19.61879723956621,51.736972704714645,25.323333333333334,12.541687093510026,1.4379511391043875,-1.0357606494785343,97.86654333333333,1.901772016162676,1.87311264315424,-1.3258830022075063,14214.275000000001,786.9203264798157,0.5096443382793581,0.9968647625897997,257.48425,1.2373022798958635,3.6315442134944753,-6.8643222878721595,97.40883333333333,6.599489596976947,0.5792762056656242,1.560695837131587,265.86158333333333,1.1283222023792747,5.510132148044367,9.755140143431529,3033.7500203450522,187.21463791629938
2020-08-31,12.244897959183687,-252.77777777777777,0.31166666666666665,0.2746843918964248,-30.079365079365083,309.7674418604651,1327916.6666666667,1745122.4212505878,-17.647058823529406,133.33333333333334,6.95,4.31645898646311,-0.8408796895213455,3.441295546558698,1417.0833333333333,142.14746397721876,2.2068965517241246,-17.483296213808465,86.95833333333333,12.155242664892487,7.972199509403111,39.14646996838778,25.9425,12.382449548380267,0.6193181499245526,-0.37616827553230703,97.83552166666668,1.8852602179914701,1.056362644891573,-0.7095657430176927,14205.666666666666,783.3730300707649,0.3731343283582156,1.2810698495523853,257.75758333333334,1.2505065488854028,0.9743831029738859,-6.666575859056212,96.83783333333332,6.385335833317073,0.38632853258735445,1.7223933878284248,266.24033333333335,1.163848032340155,7.006466690171775,19.609019269561976,3081.5708618164062,226.48853975543716
2020-09-30,3.6363636363636154,-347.8260869565217,0.37833333333333335,0.22360002168372717,-9.761634506242912,269.7674418604651,1376250.0,1719338.0927766145,-7.142857142857151,122.85714285714286,7.308333333333334,4.180356299154265,6.7188519243313705,11.368277739959165,1431.0,155.26224150245525,8.502024291498,-13.733905579399142,85.89166666666665,12.119290283250718,-0.15145778114350472,62.37684729064041,26.786666666666672,12.000259340631985,0.2735909982445328,-0.10752295940045231,97.82665416666667,1.8797071836103196,1.5254342818006306,0.5811961125656184,14212.733333333332,787.5325578646236,0.2626139536318739,1.3910228912373812,258.0548333333333,1.3278024109187962,-0.039612465000293806,-6.410983397439585,96.29044166666667,6.136239985003925,0.19037187711885561,1.7190644053436621,266.6190833333333,1.2430849059059372,-3.9227970178423055,12.975940493049665,3113.7591959635415,237.4193503192483
2020-10-31,21.052631578947366,2200.0,0.4333333333333333,0.210943048467977,-2.767295597484276,259.5348837209302,1422750.0,1692411.4116737794,-11.538461538461531,91.66666666666667,7.583333333333333,4.019686404171193,-1.4058679706601462,5.909389363099149,1438.5,162.1321010220408,1.741293532338295,-14.345549738219898,84.74999999999999,11.772193740103994,44.178991277967384,187.5945537065053,28.853333333333335,11.579560623893524,0.33361825235058706,0.17623804194586423,97.84119583333334,1.8903708191366906,0.34479469043433575,0.742950182659019,14221.783333333333,793.2091067111646,0.1238475828567287,1.2303863428671624,258.31850000000003,1.442099511135634,0.6613731784080645,-4.983078676770248,95.86859166666666,5.908742811593747,0.1386962552011095,1.6364116692455521,266.98041666666666,1.3460772946941864,-2.766578622137972,7.650874315595924,3133.1258544921875,240.10205933347314
