Date,T10Y3MM_mom_change,T10Y3MM_yoy_change,T10Y3MM_roll12_mean,T10Y3MM_roll12_std,ICSA_mom_change,ICSA_yoy_change,ICSA_roll12_mean,ICSA_roll12_std,UNRATE_mom_change,UNRATE_yoy_change,UNRATE_roll12_mean,UNRATE_roll12_std,PERMIT_mom_change,PERMIT_yoy_change,PERMIT_roll12_mean,PERMIT_roll12_std,UMCSENT_mom_change,UMCSENT_yoy_change,UMCSENT_roll12_mean,UMCSENT_roll12_std,VIXCLS_mom_change,VIXCLS_yoy_change,VIXCLS_roll12_mean,VIXCLS_roll12_std,USALOLITONOSTSAM_mom_change,USALOLITONOSTSAM_yoy_change,USALOLITONOSTSAM_roll12_mean,USALOLITONOSTSAM_roll12_std,PCE_mom_change,PCE_yoy_change,PCE_roll12_mean,PCE_roll12_std,CPIAUCSL_mom_change,CPIAUCSL_yoy_change,CPIAUCSL_roll12_mean,CPIAUCSL_roll12_std,INDPRO_mom_change,INDPRO_yoy_change,INDPRO_roll12_mean,INDPRO_roll12_std,CPILFESL_mom_change,CPILFESL_yoy_change,CPILFESL_roll12_mean,CPILFESL_roll12_std,SP500_mom_change,SP500_yoy_change,SP500_roll12_mean,SP500_roll12_std
1990-12-31,2.7272727272727115,-2924.9999999999995,0.8075,0.3581296108698979,-1.7316017316017285,26.81564245810055,387500.0,42942.879608741445,1.6129032258064502,16.66666666666665,5.616666666666667,0.3785938897200143,-8.501594048884165,-39.45147679324894,1123.6666666666667,237.26407739951705,-0.7575757575757569,-27.62430939226519,81.61666666666666,11.784183030527332,19.043321299638997,4.022082018927442,23.180833333333336,4.928150046294034,-0.1048788939506772,-2.3778427722270568,98.8891475,0.9625656117906412,-0.2737674010175883,4.807013734324972,3809.0,55.72259212141154,0.3739715781600594,6.254948535233562,130.65833333333333,2.354669763889784,-0.6951026856240161,-1.081847937661795,62.321441666666665,0.5159635107927583,0.4347826086956496,5.319148936170204,135.45833333333334,2.1559466738760222,2.482775733875209,-6.559137825727013,332.67999776204425,18.653448637850342
1991-01-31,48.67256637168143,441.9354838709677,0.9216666666666667,0.4009269562431917,1.7621145374449254,33.913043478260875,397250.0,45615.23868182598,1.587301587301604,18.518518518518512,5.7,0.4327501903786098,-8.710801393728218,-55.03432494279177,1043.5,155.60526983364565,1.984732824427482,-28.172043010752688,79.43333333333334,11.909838051973702,-20.73540561031084,-17.547318611987382,22.81,4.916678479698187,0.0554972682532239,-2.3534632097736985,98.69339166666668,0.9958187616210664,-0.5257296765338149,2.956549709169876,3818.191666666667,50.483434876914096,0.3725782414307099,5.647058823529405,131.25833333333333,2.3937260165756964,-0.3333414914706623,-0.8939696796635643,62.275525,0.6002227633818203,0.6493506493506551,5.601816805450421,136.07500000000002,2.1663228165362485,4.15177499981747,4.5125825663830055,333.9174982706706,18.88406741101295
1991-02-28,2.976190476190488,268.0851063829787,1.0266666666666666,0.4353960231441056,8.008658008658,42.57142857142857,409666.6666666667,51485.8026914977,3.124999999999978,24.52830188679245,5.808333333333334,0.4832810839052155,8.524173027989823,-35.816403310759966,1003.8333333333334,135.59353251762334,5.389221556886237,-21.340782122905026,77.84166666666667,11.716923140431788,1.5303682448589262,-3.456116416552968,22.746666666666663,4.933068993737033,0.2001554210743661,-2.184634710827238,98.51162916666664,0.9660219295499703,0.6690965894298406,3.714929456574212,3829.7333333333336,43.36985407430116,0.0742390497401768,5.312500000000009,131.82500000000002,2.356856535150134,-0.7293211665209687,-2.502447942040442,62.145825,0.7647818371332962,0.501792114695343,5.6518462697814575,136.7,2.1859052628539914,6.728117681278034,10.599894881756676,336.84916432698566,21.137063953114662
1991-03-31,16.763005780346816,380.9523809523809,1.16,0.4758341957217734,0.0,44.21965317919074,422416.6666666667,53201.94516835756,3.030303030303028,30.76923076923077,5.941666666666666,0.5195423393951972,6.799531066822984,-26.88603531300161,975.9166666666666,113.9628793896926,24.573863636363622,-3.943044906900317,77.54166666666667,11.382319489879688,-20.48987282147905,-14.445007602635584,22.509166666666665,5.155116537494717,0.2962543060397449,-1.8942137727784747,98.35403083333333,0.8800787930058661,1.1974034706597303,4.210498282244535,3842.908333333333,42.57691346971969,0.0,4.821150855365497,132.34166666666667,2.263327531569113,-0.5630067926918003,-3.511351925698813,61.96296666666667,0.9209699494981765,0.2139800285306803,5.243445692883886,137.28333333333333,2.188329929142045,2.220283252204202,10.378301619674168,339.78916422526044,23.881477891284646
1991-04-30,9.405940594059414,194.66666666666669,1.2816666666666665,0.5433370514838429,-7.414829659318634,27.27272727272727,430666.6666666667,50771.02490295941,-1.4705882352941124,24.07407407407407,6.05,0.5317210478505277,0.5488474204171201,-19.36619718309859,957.5833333333334,103.04143767819644,-6.727480045610045,-12.886048988285417,76.53333333333333,10.284439555449524,8.056872037914697,-6.557377049180335,22.4025,5.235209685824003,0.3359617170872964,-1.4980006478750751,98.22948166666669,0.7584705434898554,-0.1507794531050321,3.636604774535801,3854.3333333333335,39.51904795813138,0.2225519287833766,4.809930178432875,132.85833333333332,2.1086222702976363,0.257225447905629,-3.045174824501906,61.804741666666665,1.0072818730337143,0.2846975088967918,5.149253731343295,137.85833333333332,2.1534151874842697,0.0319799362499706,13.464331979600086,343.5008316040039,25.745809055589277
1991-05-31,10.407239819004532,225.33333333333331,1.4225,0.6081585469117591,-4.112554112554112,23.3983286908078,437666.6666666667,45509.90568163673,2.9850746268656803,27.777777777777768,6.175000000000001,0.541252755609183,8.187772925764204,-7.122774133083409,951.25,97.91287871461849,-4.278728606356963,-13.576158940397354,75.50833333333334,9.323036798785733,-12.66447368421052,-8.290155440414516,22.2825,5.375669302937585,0.3360272973337741,-1.0146086011352695,98.14525333333332,0.6364831162125063,0.6680146400143361,4.168653000688583,3867.45,37.13269816117877,0.3700962250185124,5.034856700232382,133.4,1.8776193824792768,1.0029378486213991,-2.3612263793409416,61.681691666666666,1.000088702846146,0.2838892831795725,5.133928571428581,138.43333333333334,2.06544440885044,3.8604972493607503,7.917386351108013,345.88416290283203,28.691489242913413
1991-06-30,3.688524590163933,416.3265306122448,1.5925,0.6089204306878645,-5.643340857787815,14.835164835164829,442166.6666666667,39885.82189047562,0.0,32.692307692307686,6.316666666666666,0.4821039747027906,-2.72452068617558,-12.996389891696747,939.25,84.9172056663642,4.8531289910600295,-7.021517553793888,74.99166666666666,8.700727068190863,22.72441933458884,26.129032258064512,22.62,5.026958234450441,0.3060300298241669,-0.4544325973289131,98.10762583333332,0.5676884320153311,0.185599511847867,3.574714154290981,3878.783333333333,36.92680310940453,0.2949852507374784,4.695919938414161,133.90833333333333,1.656644106915255,0.8069284147877331,-1.9068367228226024,61.58198333333334,0.94208792470696,0.3538570417551234,4.959289415247969,138.99166666666667,1.98652658647671,-4.789262897479862,3.6701902272656906,346.9791641235352,29.43779052874056
1991-07-31,-0.395256916996034,320.0,1.7525000000000002,0.5757702351080392,1.1961722488038171,14.634146341463406,446666.6666666667,33399.32860874764,-1.449275362318847,23.636363636363637,6.425,0.4245318276964138,0.9336099585062207,-9.740259740259738,930.5,74.03254812459159,0.9744214372716442,-6.00907029478458,74.55,8.081797729803199,-22.3529411764706,-28.0909521553766,22.125833333333333,5.461572298312727,0.2335159307869982,0.1369626274845714,98.11892583333332,0.5881577169653106,0.6471259992386846,3.775806578224361,3890.808333333334,40.01421243722828,0.1470588235294112,4.367816091954024,134.38333333333333,1.385531295101032,0.2740798747063344,-1.4740555684149226,61.50503333333334,0.8833834329988575,0.3526093088857651,4.786450662739328,139.53333333333333,1.922277689394136,4.485934295776639,8.889514026304157,349.61749776204425,31.66865644446643
1991-08-31,-4.761904761904767,126.41509433962264,1.8641666666666667,0.5589512636639422,0.4728132387706862,7.868020304568524,449250.0,29979.159427841816,1.4705882352941346,21.052631578947366,6.525,0.3768891807221825,-2.980472764645425,-11.693171188026197,920.0833333333334,60.29240617545496,-1.0856453558504289,7.329842931937169,75.01666666666667,8.35538295007607,-4.743083003952564,-51.638795986622064,20.839166666666667,5.279270711227472,0.1263860224523183,0.6976383948230414,98.17623583333334,0.6654183861495464,0.0781643973777113,3.1390484109866668,3900.875,43.39991883111527,0.2936857562408246,3.7993920972644313,134.8,1.2135597524368855,0.0142579159787548,-1.8156397923347,61.40990833333333,0.7781875299324076,0.4216444132115304,4.612005856515378,140.05833333333334,1.908573162114162,1.9648784624321625,22.591144490553415,355.68999735514325,32.96846312385284
1991-09-30,-5.000000000000004,76.74418604651162,1.9466666666666663,0.5392137935471585,2.8235294117647136,8.168316831683175,452000.0,26795.522013947728,0.0,16.94915254237288,6.608333333333334,0.3342789617107343,3.177966101694918,-0.2049180327868827,919.9166666666666,60.12631904936506,1.2195121951219523,14.010989010989006,75.86666666666666,8.623892111541801,9.61272475795296,-45.55135692201993,19.734166666666667,4.7521334124471855,0.0257086992818678,1.1668291621296456,98.27166916666664,0.7388131994738676,0.393036204681163,2.961163794217203,3910.425,48.33987860595332,0.2928257686676483,3.396226415094339,135.175,1.1306675421699013,0.8229532682422658,-1.0288802062213054,61.35599166666666,0.6834214624802655,0.3498950314905436,4.595185995623652,140.58333333333334,1.887197698044928,-1.9143735843086371,26.73092658769689,362.5074971516927,30.104595096071957
